Key,en_us,pt_br
dlg_tutorial_pause,Pressing <sprite=5> or <sprite=6>: the game will be paused and a new window will open.,Pressionando <sprite=5> ou <sprite=6>: o jogo será pausado e uma nova janela irá se abrir.
,During this window: three buttons will be highlighted& Continue: Options and Exit.,Durante essa janela três botões estaram em destaque& Continuar : Opções e Sair.
,Options will open a new window: where it will possible to change the settings for video: audio and controls. Adjust each setting to your liking.,Opções abrirá uma nova janela: onde será possivel mexer nas configurações de vídeo: audio e controles. Ajuste cada configuração do modo que mais lhe agrade.
,Exit will open a small window: where two options will appear& Return to HQ and Return to Main Menu.,Sair abrirá uma pequena janela: onde duas opções apareceram& Voltar ao QG e Voltar ao Menu Principal.
,Continue will unpause the game: and bring you back into the action: Pressing the <sprite=5> or <sprite=6> buttons again will do the same function.,Continuar irá despausar o jogo: e te trazer de volta para ação. Apertar novamente os botões <sprite=5> ou <sprite=6> fará a mesma função.
dlg_cutscene_prologue_0,Aaaaah....,Aaaaah....
dlg_cutscene_prologue_1,Even taking a vacation: I couldn't occupy my head with other things... what a waste of money.,Mesmo tirando férias: não consegui ocupar minha cabeça com outras coisas... que perca de dinheiro.
,I can't accept that everything that happened with Harry: wasn't my fault.,Não consigo aceitar que tudo oque aconteceu com Harry: não tenha sido minha culpa.
,It's been months: and I still remember everything perfectly.,Já se passaram meses: e ainda me lembro de tudo perfeitamente.
dlg_cutscene_prologue_2,I can't listening to these music anymore!,Eu não aguento mais essas músicas!
,Young people today should listen to good old rock and roll!,Os jovens de hoje em dia deviam escutar um bom e velho rock and roll!
,Because of the songs: most of them are idiots and dumb.,Por causa dessas músicas: a maioria deles são desmiolados da cabeça.
,Anyway: I'll look for another station to listen to.,Enfim: vou procurar outra estação para escutar.
dlg_cutscene_prologue_3,We've just been informed that Azure International: the country's leading R|D lab: has just been attacked by unidentified robots.,Acabamos de sermos informados que a Azure International: o principal laboratório de P|D do país: acaba de sofrer ataques por robôs não identificados.
,We ask that all citizens still present in the city center: look for locations as far away as possible for their safety.,Nós pedimos que todos os cidadãos ainda presentes no centro da cidade: procurem lugares o mais longe possível para se abrigarem.
,Azure International? This is not good... I need to contact Central!,Azure International? Isso não é bom... preciso entrar em contato com a Central!
dlg_cutscene_prologue_4,Agent 0204: Central listening?,Agente 0204: Central na escuta? Câmbio.
,Agent 0204: codename Cubeman: Central listening?,Agente 0204: codinome Cubeman: Central na escuta? Câmbio.
dlg_cutscene_prologue_5,Damn it...,Droga...
,I have my equipment here: I'll solve this myself.,Ainda bem que trouxe meus equipamentos: vou resolver isso sozinho.
